time,posicao,evento,x,y,x2,y2
Casa,PD,Passe,99,67,99,65
Casa,PD,Passe,97,70,97,40
Casa,VOLE,Recuperação,81,28,81,28
Casa,ZGE,Recuperação,27,6,27,6
Casa,ZGE,Passe,23,4,6,26
Casa,GOL,Passe,12,50,21,59
Casa,VOLC,Passe,33,53,44,8
Casa,VOLC,Passe,44,39,58,4
Casa,VOLC,Passe,56,23,79,72
Casa,VOLE,Passe,75,56,82,37
Casa,LE,Passe,84,3,99,58
Casa,VOLE,Recuperação,76,51,76,51
Casa,VOLC,Interceptação,41,92,41,92
Casa,LD,Interceptação,20,88,20,88
Casa,ZGD,Recuperação,21,93,21,93
Casa,PD,Entrada no Terço Final,51,97,61,85
Casa,LD,Recuperação,26,74,26,74
Casa,MO,Passe,55,86,71,94
Casa,VOLE,Passe,42,68,31,84
Casa,VOLC,Passe,39,45,53,3
Casa,VOLC,Passe,54,41,86,69
Casa,VOLC,Recuperação,66,57,66,57
Casa,VOLC,Passe,65,49,73,64
Casa,VOLE,Passe,70,74,83,67
Casa,GOL,Passe,25,48,47,70
Casa,VOLC,Passe,57,58,93,37
Casa,ZGE,Interceptação,4,31,4,31
