time,posicao,evento,tempo,x,y,x2,y2
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_7_8_1.csv,91,63,91,63
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_7_8_1.csv,80,78,80,78
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_8_9_1.csv,105,45,64,47
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_9_10_1.csv,90,17,90,17
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_45_46_2.csv,94,79,94,79
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_46_47_2.csv,90,79,90,79
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_46_47_2.csv,63,79,63,79
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_46_47_2.csv,47,74,82,77
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_47_48_2.csv,60,79,60,79
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_47_48_2.csv,99,41,99,41
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_48_49_2.csv,13,75,13,75
Ituano,GOL,RecCA,rioclaro_ituano\rioclaro_ituano_48_49_2.csv,108,53,13,31
Ituano,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_48_49_2.csv,13,32,13,32
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_50_51_2.csv,63,43,117,35
Ituano,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_50_51_2.csv,16,42,16,42
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_51_52_2.csv,71,75,71,75
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_51_52_2.csv,69,75,69,75
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_52_53_2.csv,21,79,21,79
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_53_54_2.csv,7,79,7,79
Ituano,GOL,Transição Pós Lateral,rioclaro_ituano\rioclaro_ituano_53_54_2.csv,12,73,7,79
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_54_55_2.csv,27,4,27,4
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_54_55_2.csv,36,7,26,3
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_54_55_2.csv,26,18,105,66
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_54_55_2.csv,86,71,10,65
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_54_55_2.csv,2,72,2,72
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_54_55_2.csv,38,67,38,67
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_55_56_2.csv,28,79,11,64
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_55_56_2.csv,10,63,10,63
Ituano,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,12,68,12,68
Ituano,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,0,49,0,49
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,9,50,9,50
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,9,62,8,56
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,9,53,29,46
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,19,50,10,48
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,12,51,96,49
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,102,55,12,50
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_56_57_2.csv,8,52,8,52
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_57_58_2.csv,94,41,80,40
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_57_58_2.csv,85,41,52,44
Ituano,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_57_58_2.csv,52,44,52,44
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_58_59_2.csv,95,47,64,46
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_58_59_2.csv,66,45,116,19
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_59_60_2.csv,38,40,81,79
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_59_60_2.csv,79,79,79,79
Ituano,GOL,Transição Pós Lateral,rioclaro_ituano\rioclaro_ituano_59_60_2.csv,48,72,11,42
Ituano,GOL,Gol,rioclaro_ituano\rioclaro_ituano_59_60_2.csv,12,42,12,42
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_61_62_2.csv,108,9,108,9
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_61_62_2.csv,108,8,108,8
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_62_63_2.csv,10,9,10,9
Ituano,GOL,Lateral,rioclaro_ituano\rioclaro_ituano_63_64_2.csv,42,79,42,79
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_63_64_2.csv,37,50,67,48
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_63_64_2.csv,67,50,67,50
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_64_65_2.csv,65,15,112,42
